date,Temperature,Dew.Point,humid,rain,wind_speed,pollen_count,month,year,pollen_level,season,pollen_cat,respiratory_visits,immunity_visits,wellness_visits,revenue
2011-01-01,21.0,17.2,80.88,12.46,33.5,4,1,2011,1.6094379124341,In season,Moderate,2.7010712295168515,30.90948039362142,7.575432109095079,4021.1111556317705
2011-01-02,17.9,16.3,91.1,4.3,40.6,4,1,2011,1.6094379124341,In season,Moderate,5.702603548243226,34.755206447147806,4.843184990502461,4547.287869744165
2011-01-03,24.4,14.6,56.65,0.0,40.6,0,1,2011,0.0,In season,Very low,14.94153280715104,26.70432571180498,6.835904201164649,5010.288844131795
2011-01-04,25.7,15.7,57.91,0.0,30.3,12,1,2011,2.56494935746154,In season,High,11.212544784612039,22.080190943225567,5.513229864052378,3994.5828576001913
2011-01-05,25.9,16.8,60.23,0.0,27.7,1,1,2011,0.693147180559945,In season,Low,6.482769937914996,28.62429824039199,4.834732808075812,4027.1408412350634
2011-01-06,25.7,14.9,54.19,0.0,30.7,6,1,2011,1.94591014905531,In season,Moderate,9.34079456457623,24.71426817087926,6.468534042410946,4109.804888229949
2011-01-07,20.2,16.8,83.07,14.3,29.5,3,1,2011,1.38629436111989,In season,Moderate,1.3048192232610862,32.198886696954986,7.2594717885959685,3957.2247195745067
2011-01-08,21.4,18.1,82.79,0.0,33.5,0,1,2011,0.0,In season,Very low,6.34315209372936,32.12112719926046,5.405058561406504,4405.695656086089
2011-01-09,21.2,17.5,80.66,18.3,29.5,1,1,2011,0.693147180559945,In season,Low,0.0,31.510664889829183,4.750984039541599,3225.5998226779548
2011-01-10,19.5,12.3,65.52,0.0,48.2,7,1,2011,2.07944154167984,In season,Moderate,17.01984006537895,29.241346914055207,6.158155235665045,5459.167918104198
2011-01-11,21.2,12.0,56.82,0.0,45.8,4,1,2011,1.6094379124341,In season,Moderate,15.960873460781306,26.480258703140063,6.162564671222819,5056.335859305589
2011-01-12,21.4,14.7,67.05,0.0,60.1,1,1,2011,0.693147180559945,In season,Low,20.971405369644614,30.81172535920414,6.798319627554498,6141.606750482128
2011-01-13,23.1,16.5,67.58,0.0,50.9,3,1,2011,1.38629436111989,In season,Moderate,17.38694340734905,29.531496817506294,7.199594571364488,5615.550456341674
2011-01-14,20.1,15.0,73.94,0.0,46.4,2,1,2011,1.09861228866811,In season,Low,10.6020796330133,30.625193895631206,6.190584818727506,4830.015731022917
2011-01-15,21.1,14.3,67.12,0.0,38.9,4,1,2011,1.6094379124341,In season,Moderate,8.55862325123045,27.924472059615788,8.105503314794262,4467.922261292773
2011-01-16,20.2,14.8,73.05,0.0,29.5,1,1,2011,0.693147180559945,In season,Low,4.326568706138543,28.65111006357678,6.474234744535292,3902.2380306571267
2011-01-17,20.7,13.2,63.88,0.2,37.6,4,1,2011,1.6094379124341,In season,Moderate,9.564753319498363,28.364524116240478,5.9035734939931,4456.508689483299
2011-01-18,21.6,16.0,72.82,0.0,33.5,2,1,2011,1.09861228866811,In season,Low,7.71737099889291,29.948268066737032,4.638432640897172,4291.985937812626
2011-01-19,22.1,17.2,76.07,0.0,27.7,1,1,2011,0.693147180559945,In season,Low,2.3039638867181838,26.08253363840286,5.987340479683832,3363.7162686211745
2011-01-20,21.0,12.1,58.3,0.5,52.5,0,1,2011,0.0,In season,Very low,17.321544447997063,27.527080931835712,5.913613054588864,5304.382471310328
2011-01-21,21.4,14.1,64.81,0.2,37.6,1,1,2011,0.693147180559945,In season,Low,13.00647315338233,27.456683433662533,7.21030479628147,4883.26950547465
2011-01-22,20.0,14.2,70.12,0.2,55.4,2,1,2011,1.09861228866811,In season,Low,18.337335549270193,30.593549492264923,6.712483624066854,5796.8339050642635
2011-01-23,23.6,11.4,49.99,0.0,40.7,6,1,2011,1.94591014905531,In season,Moderate,15.633292307031885,22.72077785629334,5.070630878367383,4553.723332742551
2011-01-24,23.4,14.8,60.15,0.0,38.9,2,1,2011,1.09861228866811,In season,Low,10.342877720679812,27.323935263983213,6.422254386411037,4487.319203792782
2011-01-25,23.0,15.8,66.27,0.0,27.7,1,1,2011,0.693147180559945,In season,Low,4.809425913212225,27.808031754547425,6.921531171729053,3911.656778778534
2011-01-26,19.3,15.7,81.32,0.0,37.1,5,1,2011,1.79175946922805,In season,Moderate,7.602383884564802,31.278546798611664,7.778031359387833,4662.3832547599695
2011-01-27,22.0,15.0,66.68,0.0,37.1,0,1,2011,0.0,In season,Very low,8.487509633866544,28.202462744549443,7.13750396741406,4409.747747912054
2011-01-28,21.8,14.3,63.83,0.0,39.4,0,1,2011,0.0,In season,Very low,12.497547027518507,25.923011918550454,7.010846654311478,4652.874567502185
2011-01-29,21.4,14.8,67.53,0.0,35.3,1,1,2011,0.693147180559945,In season,Low,8.273041965121791,26.153458202253283,6.3100859946151635,4112.917735609157
2011-01-30,20.1,16.1,79.49,0.0,44.3,1,1,2011,0.693147180559945,Not in season,Low,10.844459375310084,31.54493933049204,6.638312005423449,4986.89401852029
2011-01-31,22.5,15.3,65.77,0.0,40.3,6,1,2011,1.94591014905531,Not in season,Moderate,11.273440081655902,28.91587216685931,7.4995049007061585,4844.360418541131
2011-02-01,22.5,17.1,72.36,0.0,39.9,0,2,2011,0.0,Not in season,Very low,13.256417276763404,30.841750054451303,5.1002353044125694,5082.963903009744
2011-02-02,26.9,18.3,61.89,0.0,42.5,7,2,2011,2.07944154167984,Not in season,Moderate,14.0617541628931,27.57270250411675,6.083573374675264,4931.366619932868
2011-02-03,26.0,18.7,67.08,2.01,45.4,2,2,2011,1.09861228866811,Not in season,Low,12.154433606566148,29.574114944217595,5.660443953135979,4868.779043460576
2011-02-04,22.6,17.9,75.51,0.0,40.7,0,2,2011,0.0,Not in season,Very low,11.481817368154783,31.342413944537952,6.812165820618343,5057.032744281836
2011-02-05,20.5,16.3,78.25,0.0,38.9,1,2,2011,0.693147180559945,Not in season,Low,6.998734525043467,30.615222085732455,7.663234877543007,4514.429141781902
2011-02-06,21.3,15.8,74.57,0.0,27.7,0,2,2011,0.0,Not in season,Very low,4.249295392507134,29.659307053608728,5.836038415171146,3942.7292256754204
2011-02-07,20.9,16.2,77.29,0.0,26.8,0,2,2011,0.0,Not in season,Very low,0.002494814180333371,30.82749143027322,4.042708334422782,3406.4651874827846
2011-02-08,20.9,16.9,79.13,0.0,42.2,4,2,2011,1.6094379124341,Not in season,Moderate,8.401720926652356,32.94414959577628,6.0207919568677495,4784.284827325331
2011-02-09,24.9,16.9,63.21,0.0,36.5,2,2,2011,1.09861228866811,Not in season,Low,10.963291853803682,28.07969604576957,7.346486433909626,4711.283541746168
2011-02-10,25.3,17.3,62.57,0.2,27.7,3,2,2011,1.38629436111989,Not in season,Moderate,7.473699869993112,26.450964616641276,6.9706426048421,4099.591854450669
2011-02-11,21.6,17.2,77.49,0.2,33.5,0,2,2011,0.0,Not in season,Very low,6.449052421784957,31.0187378490499,6.861198949702795,4424.655991495409
2011-02-12,20.6,16.1,77.05,0.0,37.1,1,2,2011,0.693147180559945,Not in season,Low,7.996527576417641,32.129180285979714,6.15301940001774,4664.742889769507
2011-02-13,20.8,16.2,76.8,0.0,38.9,5,2,2011,1.79175946922805,Not in season,Moderate,8.788344456616068,30.998174488901128,5.1539819656724335,4566.737340937836
2011-02-14,24.5,15.7,62.53,0.0,24.1,0,2,2011,0.0,Not in season,Very low,2.3262170144488596,24.110750418526738,6.948307023516687,3246.0856454678715
2011-02-15,22.2,18.5,81.79,0.0,37.1,3,2,2011,1.38629436111989,Not in season,Moderate,6.202233687407937,32.111319643267485,5.598730891857595,4403.298478164309
2011-02-16,21.4,17.5,79.67,0.2,61.2,4,2,2011,1.6094379124341,Not in season,Moderate,19.035041843560318,33.20711682623226,8.617109435272676,6294.285458672278
2011-02-17,22.8,17.0,71.1,0.0,45.1,1,2,2011,0.693147180559945,Not in season,Low,14.945683339328376,29.04978607003074,7.003519910246736,5258.742200542218
2011-02-18,23.6,17.5,70.42,0.0,37.1,1,2,2011,0.693147180559945,Not in season,Low,10.011427434352692,28.68257759514138,5.852364399338269,4537.818203583523
2011-02-19,21.3,17.1,78.1,0.0,44.3,1,2,2011,0.693147180559945,Not in season,Low,8.915439766955899,30.92909609480004,5.8216274545035915,4628.492577875
2011-02-20,21.7,15.6,69.54,0.0,37.1,7,2,2011,2.07944154167984,Not in season,Moderate,10.338125954092193,28.342446164433156,6.340068495278631,4582.025210556669
2011-02-21,23.0,16.7,69.27,0.0,42.0,7,2,2011,2.07944154167984,Not in season,Moderate,11.778376579375527,26.848662399655456,6.19351077987047,4593.752291880247
2011-02-22,22.5,17.0,72.76,0.0,36.2,0,2,2011,0.0,Not in season,Very low,7.532616999541062,29.703952448847527,7.549846477422173,4478.297003023454
